NUM,ACH1,ACH2,ACH3,ACH4,ACH5,ACH6,ACH7,ACH8,ACH9,ACH10,ACH11,ACH12,ACH13,ACH14,ACH15,ACH16,ACH17,ACH18,ACH19,ACH20,ACH21,ACH22,ACH23,ACH24,ACH25,ACH26,ACH27,ACH28,ACH29,ACH30
1,9747,4924,9527,-1348,-2803,3890,981,2571,-3297,-1201,-2975,3847,-1342,-2793,3912,0,112,0,6036,3949,8904,7187,8958,7157,-1219,-1,-3473,-3771,7156,7156
2,9747,4940,9527,-114,-3577,3452,-32,3416,-2812,-37,-3663,3349,-114,-3539,3490,0,248,0,6039,3948,8904,7164,8958,7157,-1155,-25,-3473,-3718,7144,7144
3,9743,4902,9527,1271,-4010,2683,-723,3742,-2037,1428,-4041,2543,1266,-3983,2716,0,290,0,6036,3948,8900,7117,8955,7134,-1237,-36,-3473,-3452,7132,7132
4,9750,4848,9527,2418,-4059,1666,-1847,3697,-1112,2461,-4085,1509,2429,-4032,1688,0,163,0,6032,3947,8904,7129,8962,7122,-1325,-47,-3473,-3383,7137,7137
5,9747,4816,9527,3343,-3696,194,-2960,3189,49,3354,-3657,178,3370,-3696,221,0,107,0,6032,3948,8907,7117,8962,7145,-1418,-71,-3473,-3467,7171,7171
6,9740,4836,9527,3793,-3079,-888,-3348,2625,590,3771,-3030,-1103,3830,-3090,-882,0,93,0,6036,3947,8904,7164,8955,7145,-1401,-68,-3473,-3471,7149,7149
7,9743,4892,9527,3982,-2105,-2149,-3459,1730,1763,3933,-2034,-2315,4025,-2132,-2127,0,65,0,6039,3949,8910,7141,8962,7122,-1301,-75,-3473,-3419,7154,7156
8,9743,4930,9527,3776,-926,-3112,-3117,679,2845,3684,-822,-3241,3825,-947,-3096,0,32,0,6036,3950,8904,7211,8958,7169,-1208,-72,-3473,-3188,7151,7151
9,9740,4924,9527,3219,303,-3777,-2573,-135,3545,3078,508,-3847,3262,286,-3772,0,-43,0,6039,3949,8904,7153,8962,7134,-1178,-59,-3473,-3144,7137,7137
10,9750,4878,9527,2380,1661,-4048,-1735,-1088,3758,2191,1763,-4096,2418,1682,-4042,0,-118,0,6039,3948,8900,7141,8958,7181,-1278,-36,-3473,-3314,7161,7161
11,9750,4826,9527,1282,2721,-3956,-714,-2210,3548,1065,2775,-3982,1314,2743,-3967,0,-155,0,6036,3947,8900,7199,8955,7193,-1383,-13,-3473,-3382,7215,7215
12,9747,4814,9527,91,3462,-3528,-35,-3091,3037,-167,3533,-3446,113,3506,-3534,0,-253,0,6039,3947,8904,7187,8958,7240,-1436,2,-3473,-3396,7222,7222
13,9750,4860,9527,-1499,3912,-2641,1241,-3444,2187,-1715,3933,-2532,-1483,3949,-2668,0,-277,0,6039,3948,8904,7222,8958,7204,-1342,25,-3473,-3269,7230,7230
14,9750,4902,9527,-2490,3960,-1716,2206,-3341,1344,-2656,3885,-1628,-2462,4009,-1748,0,-211,0,6039,3948,8900,7246,8955,7204,-1254,34,-3473,-3346,7120,7120
15,9757,4936,9527,-3339,3636,-439,3149,-2967,133,-3495,3533,-275,-3328,3668,-487,0,-202,0,6039,3949,8900,7093,8955,7110,-1178,53,-3473,-3584,7137,7139
16,9760,4916,9527,-3886,2970,784,3660,-2313,-409,-4004,2813,909,-3875,3024,773,0,-160,0,6039,3948,8904,7153,8958,7122,-1190,56,-3473,-3683,7166,7166
17,9757,4860,9527,-4064,2029,2066,3749,-1442,-1512,-4133,1823,2169,-4053,2066,2066,0,-104,0,6036,3947,8897,7117,8952,7193,-1313,56,-3473,-3749,7173,7173
18,9753,4816,9527,-3875,860,3030,3466,-362,-2587,-3895,633,3095,-3869,898,3035,0,-29,0,6036,3947,8904,7141,8958,7204,-1401,57,-3473,-3572,7183,7183
19,9757,4828,9527,-3317,-433,3663,2817,187,-3313,-3306,-654,3695,-3317,-385,3690,0,42,0,6048,3947,8907,7164,8962,7193,-1430,50,-3473,-3603,7161,7161
20,9750,4874,9527,-2457,-1748,3960,2044,1456,-3496,-2380,-1942,3955,-2462,-1721,3977,0,103,0,6036,3948,8900,7164,8955,7122,-1331,24,-3473,-3728,7149,7149
21,9750,4928,9527,-1348,-2803,3879,1025,2587,-3297,-1255,-2970,3841,-1348,-2787,3912,0,135,0,6036,3949,8910,7176,8965,7193,-1213,-2,-3473,-3767,7156,7156
22,9747,4940,9527,-120,-3566,3441,-30,3402,-2822,-102,-3679,3354,-109,-3539,3484,0,243,0,6036,3949,8904,7164,8958,7157,-1167,-26,-3473,-3748,7154,7154
23,9747,4902,9527,1266,-3999,2683,-721,3735,-2053,1433,-4036,2548,1260,-3983,2716,0,290,0,6036,3949,8907,7129,8962,7134,-1225,-37,-3473,-3419,7132,7132
24,9747,4850,9527,2407,-4053,1655,-1903,3683,-1081,2516,-4036,1471,2424,-4042,1682,0,182,0,6036,3948,8904,7082,8958,7169,-1342,-48,-3473,-3374,7149,7149
25,9750,4818,9527,3262,-3761,211,-2892,3213,46,3365,-3641,156,3360,-3696,221,0,131,0,6036,3948,8907,7164,8962,7134,-1430,-72,-3473,-3503,7171,7171
26,9747,4838,9527,3793,-3079,-899,-3363,2608,618,3841,-2959,-1136,3836,-3085,-888,0,117,0,6036,3948,8907,7153,8962,7169,-1389,-67,-3473,-3476,7139,7142
27,9747,4888,9527,3987,-2122,-2138,-3442,1735,1779,3966,-1974,-2326,4036,-2116,-2116,0,84,0,6039,3950,8907,7129,8962,7169,-1295,-74,-3473,-3419,7156,7156
28,9747,4932,9527,3776,-942,-3112,-3119,674,2847,3679,-817,-3246,3825,-947,-3090,0,32,0,6036,3950,8900,7176,8958,7145,-1208,-73,-3473,-3152,7142,7142
29,9747,4922,9527,3154,562,-3810,-2496,-248,3599,3003,643,-3885,3197,546,-3794,0,-47,0,6039,3949,8907,7164,8958,7181,-1178,-59,-3473,-3141,7146,7146
